table,id,slug,title,category,status,image_field,url,bucket,reason
articles,2a2bf298-f5a5-440b-b00e-7cf9b20a7ff9,managing-burnout,Managing Burnout,(none),archived,image,https://images.unsplash.com/photo-1499750310159-5b600aaf0378?auto=format&fit=crop&q=80,needs-dead,HTTP 404 dead link
articles,df6ad217-904d-4a98-bad4-6eafa59046c1,mindfulness-101,Mindfulness 101,(none),archived,image,https://images.unsplash.com/photo-1508672019048-805c27635429?auto=format&fit=crop&q=80,needs-dead,HTTP 404 dead link
articles,3ed38f21-8f88-4b19-9670-cc0dc9c7da51,part-1-,Part 1: ,(none),archived,(none),,needs-null,image+hero_image_url both empty
articles,2ea001b8-2c64-48a0-8fce-e3b7b6f64161,sleep-mental-health,Sleep and Mental Health,(none),archived,image,https://images.unsplash.com/photo-1541781777621-7944534f837e?auto=format&fit=crop&q=80,needs-dead,HTTP 404 dead link
articles,5a4411c0-6220-4f1f-8897-aff46a17340f,understanding-anxiety,Understanding Anxiety Triggers,(none),archived,image,https://images.unsplash.com/photo-1515890492928-be550f8599f1?auto=format&fit=crop&q=80,needs-dead,HTTP 404 dead link
articles,94d256b6-d628-49cb-ae08-355dfb022d34,adult-sibling-relationships-in-later-life-caregiving-and-conflict,Adult Sibling Relationships in Later Life: Caregiving and Conflict,"Aging, Dementia & Late-Life Mental Health",archived,hero_image_url,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT17-056.jpeg,needs-dead,supabase object-not-found (HTTP400)
articles,3887bb22-dcda-460d-af02-f4d476053e3a,aging-parents-and-adult-children-navigating-role-reversal,Aging Parents and Adult Children: Navigating Role Reversal,"Aging, Dementia & Late-Life Mental Health",archived,hero_image_url,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT17-064.jpeg,needs-dead,supabase object-not-found (HTTP400)
articles,48b8cd90-ae84-42b9-b062-80a120815c89,anticipatory-grief-preparing-emotionally-for-expected-loss,Anticipatory Grief: Preparing Emotionally for Expected Loss,"Aging, Dementia & Late-Life Mental Health",archived,hero_image_url,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT17-053.jpeg,needs-dead,supabase object-not-found (HTTP400)
articles,888ef44e-c303-4f8a-a604-e3a73dfea63b,celebrating-life-milestones-in-later-adulthood-meaning-and-joy,Celebrating Life Milestones in Later Adulthood: Meaning and Joy,"Aging, Dementia & Late-Life Mental Health",archived,hero_image_url,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT17-065.jpeg,needs-dead,supabase object-not-found (HTTP400)
articles,a941072f-025e-4529-a3b8-67731603fd4f,financial-anxiety-in-later-life-when-retirement-savings-fall-short,Financial Anxiety in Later Life: When Retirement Savings Fall Short,"Aging, Dementia & Late-Life Mental Health",archived,hero_image_url,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT17-057.jpeg,needs-dead,supabase object-not-found (HTTP400)
