id,old_title,old_slug,old_category,action,new_title,new_slug,new_category,seo_description,duplicate_of
003559fe-f3aa-4c13-9752-e0b214e570b6,Animal-Assisted Therapy and Dementia,losing-a-spouse-in-later-life-widowhood-and-rebuilding-identity,"Aging, Dementia & Late-Life Mental Health",RETITLE,Losing a Spouse in Later Life and Rebuilding Identity,losing-a-spouse-in-later-life-and-rebuilding-identity,Life Transitions & Crises,"How widowhood affects identity, health, and daily life in older adults, including gender differences and the widowhood effect on mortality.",
005dfc4c-980a-41c0-bae5-9b32530ebbe4,Why Bad Habits Are So Hard to Break,how-long-to-build-a-habit,"Habits, Motivation & Behavior Change",RETITLE,How Long It Actually Takes to Build a Habit,how-long-it-actually-takes-to-build-a-habit,Therapy & Treatment,"Research shows habit formation takes 18 to 254 days, not 21 — what the science says about building lasting behavioral change.",
0062310a-25f3-45bc-9c53-58347ec413a2,Non-Binary and Gender Non-Conforming Mental Health,prostate-cancer-and-mental-health-the-psychological-impact-of-diagnosis,Men's Mental Health,RETITLE,Prostate Cancer and the Psychological Impact of Diagnosis,prostate-cancer-and-the-psychological-impact-of-diagnosis,Depression & Mood,Depression and anxiety affect up to 30% of men after a prostate cancer diagnosis — the psychological dimensions of treatment and identity.,
00933f94-fb77-4104-91a3-d737bfd98109,Psychiatric Hospitals,sliding-scale-therapy-how-to-find-affordable-mental-health-care,"Therapy, Treatment & Mental Health Navigation",RETITLE,Sliding Scale Therapy and Finding Affordable Mental Health Care,sliding-scale-therapy-and-finding-affordable-mental-health-care,Therapy & Treatment,"How sliding scale therapy works, where to find low-cost sessions, and which online platforms offer affordable mental health support.",
00dfa0a0-2991-49e5-bde3-1eec69d12d09,Therapy for Depression,treatment-resistant-depression,"Depression, Grief & Loss",RETITLE,Understanding Treatment-Resistant Depression and Advanced Options,understanding-treatment-resistant-depression-and-advanced-options,Depression & Mood,"Treatment-resistant depression affects 30% of people with major depression — what it means, how it is staged, and what interventions can help.",
0104c611-28e9-4b08-ab8e-6f05715d8374,Interdependence vs Independence,enmeshment-closeness-crosses-line-control,Relationships & Communication,RETITLE,Enmeshment When Closeness Crosses the Line into Control,enmeshment-when-closeness-crosses-the-line-into-control,Relationships & Social Health,"Enmeshment is when boundaries dissolve in relationships, creating emotional fusion that feels like closeness but functions like control.",
01247e56-d794-43ea-ba3b-87367e8a90c2,Parentification,the-pressure-of-intensive-parenting-why-modern-parenting-is-exhausting,Relationships & Communication,RETITLE,Intensive Parenting Pressure and Why Modern Parenting Is Exhausting,intensive-parenting-pressure-and-why-modern-parenting-is-exhausting,Life Transitions & Crises,"Intensive parenting ideology demands constant child enrichment and perfection, driving parental burnout, financial strain, and overscheduled children.",
013479ad-bd6a-4a4a-9731-d6c8cee485dc,Career Change,returning-to-work-after-burnout,"Work, Productivity & Burnout",RETITLE,Returning to Work After Burnout Without Relapsing,returning-to-work-after-burnout-without-relapsing,Workplace & Academic,"Evidence-based strategies for returning to work after burnout, including how to reduce relapse risk and navigate the transition sustainably.",
016199f9-36a2-4a82-b2d7-05a88ecbd062,Prayer and Mental Health,the-boom-and-bust-cycle-why-people-with-chronic-illness-overdo-it,"Chronic Illness, Pain & Medical Psychology",RETITLE,The Boom-and-Bust Cycle in Chronic Illness and Fatigue,the-boom-and-bust-cycle-in-chronic-illness-and-fatigue,Life Transitions & Crises,Up to 70% of people with chronic pain or fatigue experience the boom-and-bust cycle — why it happens and how to break the pattern.,
01abb44b-ed4c-4ced-9676-1ac09a449a75,When Adult Children Struggle,adult-sibling-relationships,Relationships & Communication,RETITLE,Navigating Adult Sibling Relationships and Old Patterns,navigating-adult-sibling-relationships-and-old-patterns,Relationships & Social Health,"Adult sibling relationships carry decades of history and ingrained roles — how to shift dynamics, set boundaries, and relate as who you are now.",
01aecd64-0f1a-468e-8aef-c2dde1c438cb,The Psychology of Forgiveness in Families,cultural-expectations-around-eldercare,Relationships & Communication,RETITLE,Cultural Expectations Around Eldercare and Caregiver Guilt,cultural-expectations-around-eldercare-and-caregiver-guilt,Global & Cultural Mental Health,"How filial piety, familismo, and religious duty shape eldercare decisions and the guilt that arises when modern life makes them impossible to fulfill.",
0223e41e-0a4f-4b49-b64d-f87e4d74d881,Sacred Space,multiple-sclerosis-and-mental-health-neurological-and-emotional-challenges,"Chronic Illness, Pain & Medical Psychology",RETITLE,Multiple Sclerosis and Its Neurological and Emotional Challenges,multiple-sclerosis-and-its-neurological-and-emotional-challenges,Depression & Mood,"MS affects the brain directly, making depression, anxiety, and cognitive changes a biological feature of the disease, not just a reaction to it.",
023e123c-76a5-4d3e-b644-fe5fce14cf28,Midlife Anxiety,behavioral-activation-why-doing-something-anything-helps-when-anxiety-paralyzes,"Anxiety, Stress & Overwhelm",RETITLE,Behavioral Activation as a Tool for Breaking Anxious Paralysis,behavioral-activation-as-a-tool-for-breaking-anxious-paralysis,Anxiety & Stress,"Behavioral activation reverses the anxiety avoidance cycle by prioritizing action over feeling ready, shrinking the world anxiety creates.",
02968485-642a-4fc8-af29-8ccc80bb22a0,EMDR,humanistic-person-centered-therapy-unconditional-positive-regard,"Therapy, Treatment & Mental Health Navigation",RETITLE,Person-Centered Therapy and Unconditional Positive Regard,person-centered-therapy-and-unconditional-positive-regard,Therapy & Treatment,"Carl Rogers' person-centered therapy holds that acceptance, empathy, and authenticity from a therapist create the conditions for genuine self-growth.",
02ab2dbc-cf1c-4aaa-9b33-69cb5e82b84f,Headaches and Anxiety,burnout-and-cynicism-when-exhaustion-changes-how-you-see-the-world,"Anxiety, Stress & Overwhelm",RETITLE,Burnout and Cynicism When Exhaustion Changes How the World Looks,burnout-and-cynicism-when-exhaustion-changes-how-the-world-looks,Workplace & Academic,Cynicism is one of burnout's most insidious symptoms — a fundamental shift in worldview that signals the psyche protecting itself from exhaustion.,
02c54051-fef9-4342-8266-b64cdfc2a7a9,Chosen Family,child-wont-go-school-understanding-school-avoidance,Relationships & Communication,RETITLE,Understanding School Refusal and Avoidance in Children,understanding-school-refusal-and-avoidance-in-children,Children & Adolescents,"School refusal affects 2–5% of children and stems from anxiety, bullying, or family issues — how to identify the cause and support a return.",
02c65c22-397c-4960-bd9e-d8190c5cb56b,The Role of Anger in Relationships,stonewalling-shutdown-during-conflict,Relationships & Communication,RETITLE,Stonewalling and Emotional Shutdown During Relationship Conflict,stonewalling-and-emotional-shutdown-during-relationship-conflict,Relationships & Social Health,Stonewalling is one of Gottman's Four Horsemen that predict relationship failure — what drives emotional withdrawal and how to address it.,
02fdef1e-3834-46c2-b0ee-e6ecb316cc73,Anxiety in Your 30s,worry-time-the-counterintuitive-strategy-that-reduces-anxious-thinking,"Anxiety, Stress & Overwhelm",RETITLE,Worry Time The CBT Strategy That Shrinks Chronic Anxious Thinking,worry-time-the-cbt-strategy-that-shrinks-chronic-anxious-thinking,Anxiety & Stress,"Worry time is a CBT technique that reduces chronic worrying by scheduling a daily 15–30 minute window, paradoxically making anxiety shrink.",
031623e6-f613-4693-8752-da8ddbcfabf3,How Managers Affect Mental Health,how-economic-uncertainty-affects-mental-health,"Work, Productivity & Burnout",RETITLE,How Economic Uncertainty Affects Mental Health and the Brain,how-economic-uncertainty-affects-mental-health-and-the-brain,Anxiety & Stress,"Financial insecurity keeps the nervous system in sustained high-alert mode, increasing risk of anxiety, depression, and cognitive impairment.",
0328703f-d38a-4303-98a2-6d2e0e01b41d,Social Confidence,imposter-syndrome-explained-why-successful-people-feel-like-frauds,"Self-Worth, Confidence & Identity",RETITLE,Imposter Syndrome and Why Successful People Feel Like Frauds,imposter-syndrome-and-why-successful-people-feel-like-frauds,Self-Esteem & Identity,"Imposter syndrome affects an estimated 70% of people, creating persistent self-doubt and fear of exposure despite clear evidence of competence.",
036bd93d-ec0d-4b84-8207-d2efdb988fe8,Exercise and Grief,how-seasons-affect-everyones-mood-without-sad,"Depression, Grief & Loss",RETITLE,How Seasons Affect Mood Even Without Seasonal Affective Disorder,how-seasons-affect-mood-even-without-seasonal-affective-disorder,Sleep & Circadian Health,Up to 90% of people experience some seasonal mood variation — how changing light and temperature shift energy and motivation throughout the year.,
0400cd59-5a26-424f-aa5d-21a512485e03,Normal Cognitive Aging,the-landscape-of-mental-health-in-later-life-what-changes-and-what-does-not,"Aging, Dementia & Late-Life Mental Health",RETITLE,Mental Health in Later Life What Changes and What Stays Stable,mental-health-in-later-life-what-changes-and-what-stays-stable,Life Transitions & Crises,"About 20% of adults over 60 experience a mental health condition, yet older adults are systematically underdiagnosed — mapping the landscape of late-life mental health.",
04031e38-c6e4-43b8-9b80-7bd9ebafc686,Building Your Anxiety Management Toolkit,recovery-is-not-linear-what-to-expect-on-the-path-from-anxiety,"Anxiety, Stress & Overwhelm",RETITLE,Recovery from Anxiety Is Not Linear What to Expect on the Path,recovery-from-anxiety-is-not-linear-what-to-expect-on-the-path,Anxiety & Stress,"Anxiety recovery follows a jagged, non-linear path with regular setbacks — understanding this pattern is key to persisting through treatment.",
043a845d-54a2-4bd0-9040-8ea3c45c2ee1,Altruism and Wellbeing,medical-trauma-when-healthcare-experiences-leave-psychological-scars,"Chronic Illness, Pain & Medical Psychology",RETITLE,Medical Trauma When Healthcare Experiences Leave Psychological Scars,medical-trauma-when-healthcare-experiences-leave-psychological-scars,Trauma & PTSD,Between 12% and 25% of patients in high-acuity settings develop post-traumatic stress symptoms from the healthcare encounter itself.,
0456477f-2d5a-401b-ac53-ccea488085bc,The Art of Doing Less,how-stress-accumulates-understanding-allostatic-load,"Anxiety, Stress & Overwhelm",RETITLE,How Stress Accumulates Understanding Allostatic Load,how-stress-accumulates-understanding-allostatic-load,Anxiety & Stress,Allostatic load is the cumulative biological wear from chronic stress — how repeated activation of stress systems increases disease risk over time.,
049cb439-1fdd-4867-a014-9c7b26ce1e62,Disorganized Attachment,why-i-statements-work-taking-ownership-of-your-experience,Relationships & Communication,RETITLE,How I-Statements Transform Conflict Communication,how-i-statements-transform-conflict-communication,Relationships & Social Health,"Learn how using I-statements instead of blame-based language reduces defensiveness and creates healthier, more empathetic conversations.",
04f554bf-27f2-4781-a59a-0076db0f6c42,Self-Respect,who-am-i-guide-identity-formation-development,"Self-Worth, Confidence & Identity",RETITLE,Identity Formation and Development Across the Lifespan,identity-formation-and-development-across-the-lifespan,Self-Esteem & Identity,"Explore how identity forms and evolves through life stages, from Erikson's model to personal, social, and narrative dimensions of the self.",
05118f49-6cc3-482c-ad4a-a7f2412116b0,Self-Help for Mental Health,psychiatrist-psychologist-counselor-social-worker-differences,"Therapy, Treatment & Mental Health Navigation",RETITLE,"Psychiatrist, Psychologist, or Therapist: Who Should See",psychiatrist-psychologist-therapist-who-to-see,Therapy & Treatment,"A clear breakdown of the differences between psychiatrists, psychologists, counselors, and social workers to help find the right mental health professional.",
0544c0c7-fc8f-4bce-82f3-fe97ca82fd80,Building a Social Life From Scratch,loneliness-after-having-baby-isolation-new-parents-dont-talk-about,"Loneliness, Social Connection & Belonging",RETITLE,Loneliness in New Parents: The Isolation Nobody Talks About,loneliness-in-new-parents-the-isolation-nobody-talks-about,Life Transitions & Crises,New parenthood is often deeply isolating — this article explores why parental loneliness is so common and how it links to postpartum depression.,
061bcc7c-a001-4de5-a691-c58af4dd8983,Nonviolent Communication,disorganized-attachment-push-pull-pattern-confuses-everyone,Relationships & Communication,RETITLE,Disorganized Attachment and the Push-Pull Pattern in Relationships,disorganized-attachment-and-the-push-pull-pattern-in-relationships,Relationships & Social Health,"Disorganized (fearful-avoidant) attachment creates contradictory impulses of craving and fearing closeness, often rooted in early childhood trauma.",
0625e547-2935-41a9-8650-64527db25790,Developing Emotional Intelligence as an Adult,emotional-intelligence-at-work-managing-feelings-in-professional-settings,Emotional Regulation & Self-Awareness,RETITLE,Emotional Intelligence at Work: Managing Feelings in Professional Settings,emotional-intelligence-at-work-managing-feelings-in-professional-settings,Workplace & Academic,High emotional intelligence predicts job performance and leadership effectiveness — learn practical strategies for managing emotions in the workplace.,
07005c09-7c7d-4047-964e-f57b40feaf62,Hope and Depression,depression-women-hormonal-social-psychological-factors,"Depression, Grief & Loss",RETITLE,Why Women Experience Depression at Higher Rates Than Men,why-women-experience-depression-at-higher-rates-than-men,Depression & Mood,"Women are diagnosed with depression at twice the rate of men due to hormonal, psychological, and social factors — this article explains the gender gap.",
07388c0b-1894-4087-a0e3-44b320eb4b58,Self-Compassion,surgery-and-mental-health-preparing-for-and-recovering-from-operations,"Chronic Illness, Pain & Medical Psychology",RETITLE,Mental Health Before and After Surgery: What to Expect,mental-health-before-and-after-surgery-what-to-expect,Life Transitions & Crises,Pre-surgical anxiety affects up to 80% of patients and post-operative depression is common — explore the psychological dimensions of surgery and recovery.,
075a6d54-7c74-4c7e-898a-a21463aa8ea8,The Psychology of Procrastination at Its Root,seasonal-routines-adapting-to-change-throughout-year,"Habits, Motivation & Behavior Change",RETITLE,Adapting Routines to Seasonal Changes in Light and Energy,adapting-routines-to-seasonal-changes-in-light-and-energy,Sleep & Circadian Health,"Seasonal shifts in light and temperature are biological, not motivational failures — learn how to adjust routines across all four seasons to support mood and energy.",
083ae671-b996-4ee7-aeff-793066a25379,Seasonal and Climate Mental Health,asian-american-mental-health-model-minority-myth-consequences,"Cultural Perspectives, Inclusion & Global Wellness",RETITLE,The Model Minority Myth and Asian American Mental Health,the-model-minority-myth-and-asian-american-mental-health,Global & Cultural Mental Health,The model minority stereotype erases Asian American struggles and drives the lowest rates of mental health service use among any racial group.,
0849c8dc-b2dc-4630-bb6c-5318cada4689,How Childhood Shapes Your Relationship With Food,self-care-for-caregivers,Relationships & Communication,RETITLE,Self-Care for Caregivers: Preventing Burnout While Caring for Others,self-care-for-caregivers-preventing-burnout-while-caring-for-others,Life Transitions & Crises,Caregiver wellbeing directly affects care quality — practical strategies to sustain health and prevent burnout for those caring for others long-term.,
085b81e5-3049-4abf-993d-2bb6ac4d0083,Antidepressants,medication-vs-therapy-debate-combined-treatment-research,"Therapy, Treatment & Mental Health Navigation",RETITLE,Medication vs. Therapy: What the Research on Combined Treatment Shows,medication-vs-therapy-what-the-research-on-combined-treatment-shows,Therapy & Treatment,"Research comparing medication, psychotherapy, and combined treatment reveals when each works best for depression and anxiety, and who benefits most.",
08dd4bbb-c3f8-4ade-b31e-4826d08202b5,The Teenage Brain,reparenting-yourself-how-to-give-yourself-what-you-didnt-receive,Relationships & Communication,RETITLE,Reparenting Yourself: Meeting Unmet Childhood Needs as an Adult,reparenting-yourself-meeting-unmet-childhood-needs-as-an-adult,Self-Esteem & Identity,"Self-reparenting means consciously providing the validation, safety, and care you deserved but didn't receive in childhood to heal and grow as an adult.",
0901f866-5e97-4f86-8d42-5d64841a7a34,How Trauma Affects the Brain,big-t-little-t-spectrum-traumatic-experiences,Trauma-Informed Education & Healing,RETITLE,Big T and Little t Trauma: Understanding the Full Spectrum,big-t-and-little-t-trauma-understanding-the-full-spectrum,Trauma & PTSD,Trauma exists on a spectrum — learn the difference between Big T and little t traumas and why both can have significant lasting effects on wellbeing.,
091526ec-bc27-4586-8fa2-8af5614da0b0,Habit and Mental Health,how-to-make-difficult-tasks-easier-psychology-pre-commitment,"Habits, Motivation & Behavior Change",RETITLE,Pre-Commitment Devices and the Psychology of Sticking to Goals,pre-commitment-devices-and-the-psychology-of-sticking-to-goals,Therapy & Treatment,"Ulysses contracts and commitment devices use behavioral science to lock in future behavior, dramatically improving goal achievement across health and habit domains.",
09163ae6-6f5f-4147-bc36-904dce73beef,Military Trauma,breathwork-trauma-regulate-dysregulated-nervous-system,Trauma-Informed Education & Healing,RETITLE,Breathwork for Trauma: Regulating a Dysregulated Nervous System,breathwork-for-trauma-regulating-a-dysregulated-nervous-system,Trauma & PTSD,"Controlled breathing directly activates the vagus nerve and can reduce PTSD symptoms, interrupt freeze states, and build nervous system resilience after trauma.",
09696c1b-7038-48b6-8618-07023f9c0f95,Romantic Love and Mental Health,making-friends-adult-difficult,Relationships & Communication,RETITLE,Why Making Friends as an Adult Is So Hard,why-making-friends-as-an-adult-is-so-hard,Relationships & Social Health,"Adult friendship faces structural and psychological barriers — research shows it takes 50+ hours to move from acquaintance to friend, and finding that time is the challenge.",
0a80e373-1ec9-465f-9702-522e71d37e1b,Purpose,managing-employee-mental-health-guide-for-leaders,"Work, Productivity & Burnout",RETITLE,A Manager's Guide to Supporting Employee Mental Health,a-managers-guide-to-supporting-employee-mental-health,Workplace & Academic,"Managers significantly shape employee mental health — evidence-based guidance on recognizing distress, having supportive conversations, and connecting staff to resources.",
0ab04771-59b3-4414-a742-0d49f0df3722,The Psychology of Worry,how-to-support-a-partner-with-anxiety-without-becoming-their-therapist,"Anxiety, Stress & Overwhelm",RETITLE,Supporting a Partner with Anxiety Without Enabling It,supporting-a-partner-with-anxiety-without-enabling-it,Relationships & Social Health,Reassurance and accommodation can worsen a partner's anxiety over time — learn evidence-based ways to offer genuine support without reinforcing anxious patterns.,
0acf97d1-9d2c-45c8-97d5-ee3e307539e6,Psychedelics and Spirituality,long-covid-and-mental-health-the-psychological-aftermath-of-persistent-symptoms,"Chronic Illness, Pain & Medical Psychology",RETITLE,"Long COVID and Mental Health: Depression, Anxiety, and Brain Fog",long-covid-and-mental-health-depression-anxiety-and-brain-fog,Depression & Mood,"Long COVID raises the risk of new-onset psychiatric disorders by 40-60%, with depression, anxiety, cognitive impairment, and PTSD among the most common outcomes.",
0ade8536-aeb7-4bf5-ace3-462ab4303e80,Cyberbullying,social-media-loneliness-connection,"Digital Life, Social Media & Modern Stressors",RETITLE,Social Media and Loneliness: The Connection Paradox,social-media-and-loneliness-the-connection-paradox,Relationships & Social Health,Heavy social media use is consistently linked to greater loneliness and social isolation despite offering more connection than any previous technology.,
0b26ad73-14b6-4133-b8da-93a6f7911e44,Storytelling and Mental Health,acculturation-stress-adapting-new-culture-overwhelms,"Cultural Perspectives, Inclusion & Global Wellness",RETITLE,Acculturation Stress: The Mental Health Toll of Cultural Adaptation,acculturation-stress-the-mental-health-toll-of-cultural-adaptation,Global & Cultural Mental Health,Adapting to a new culture creates significant psychological strain — explore the four acculturation strategies and their different impacts on mental health.,
0bb0771c-f1fe-4194-865e-8a9cbdeee654,Compassion Fatigue,chronic-stress-and-physical-health-the-long-term-consequences,"Anxiety, Stress & Overwhelm",RETITLE,How Chronic Stress Physically Damages the Body Over Time,how-chronic-stress-physically-damages-the-body-over-time,Anxiety & Stress,Chronic stress triggers systemic inflammation and damages major organs — research maps the precise biological pathways linking sustained stress to serious disease.,
0bb720d5-8363-4649-ad5f-ecf88d558bc4,Reactive Attachment Disorder,adhd-adults,Understanding Mental Health Conditions,RETITLE,"ADHD in Adults: Symptoms, Diagnosis, and Treatment",adhd-in-adults-symptoms-diagnosis-and-treatment,Neurodevelopmental,Adult ADHD affects 4.4% of adults and presents differently than in children — learn how symptoms shift with age and which treatments show the best outcomes.,
0bdd4a19-a37e-4970-9aab-33bd9636822c,Crisis Resources and Support,depression-immigrants-refugees-displacement,"Depression, Grief & Loss",RETITLE,Depression in Immigrants and Refugees: Causes and Cultural Barriers,depression-in-immigrants-and-refugees-causes-and-cultural-barriers,Global & Cultural Mental Health,"Refugees experience depression at three to four times the general population rate — this article examines pre-migration trauma, post-migration stressors, and culturally responsive care.",
0cd7cbbf-846b-4bf0-b7df-dd0ce3186b2c,Trauma-Informed Systems,supporting-someone-after-psychiatric-hospitalization,"Therapy, Treatment & Mental Health Navigation",RETITLE,Supporting a Loved One After Psychiatric Hospitalization,supporting-a-loved-one-after-psychiatric-hospitalization,Therapy & Treatment,"How to support a loved one coming home after psychiatric hospitalization, including what to expect and how to follow the discharge plan.",
0cf54b75-1239-4db0-9f71-f79bb08ad781,Falls and Mental Health,overcoming-barriers-socialization-mobility-hearing-transportation,"Aging, Dementia & Late-Life Mental Health",RETITLE,Overcoming Barriers to Socialization in Older Adults,overcoming-barriers-to-socialization-in-older-adults,Life Transitions & Crises,"Practical solutions for older adults facing mobility, hearing loss, and transportation barriers that lead to social isolation and loneliness.",
0d54ff51-2f0b-4eaa-b49d-8ceb45f05f9c,Compassion Fatigue,military-ptsd-combat-trauma-challenges-coming-home,Trauma-Informed Education & Healing,RETITLE,Combat PTSD in Military Veterans and Coming Home,combat-ptsd-in-military-veterans-and-coming-home,Trauma & PTSD,"An in-depth look at combat PTSD in military veterans, including unique challenges, co-occurring conditions, and barriers to seeking care.",
0e368442-9bab-4bb2-ad19-f5a62ae8f1f4,Travel Anxiety,why-social-anxiety-makes-you-avoid-eye-contact-phone-calls-and-small-talk,"Anxiety, Stress & Overwhelm",RETITLE,Why Social Anxiety Drives Avoidance of Eye Contact and Phone Calls,why-social-anxiety-drives-avoidance-of-eye-contact-and-phone-calls,Anxiety & Stress,"Explores the specific avoidance behaviors social anxiety creates around eye contact, phone calls, and small talk, and why they feel so threatening.",
0e6a3dcb-3252-4df9-a788-0961f69a6e78,Depression After a Breakup,nutrition-depression-evidence-food-mood,"Depression, Grief & Loss",RETITLE,What the Research Says About Nutrition and Depression,what-the-research-says-about-nutrition-and-depression,Depression & Mood,"A science-based review of how diet affects depression risk, including the SMILES trial and how nutrition influences brain function and mood.",
0ef7a949-e0fb-4d1d-bc78-d906a6c0390f,Sports and Masculine Identity,mens-support-groups-why-peer-connection-changes-everything,Men's Mental Health,RETITLE,Men's Support Groups and the Male Loneliness Epidemic,mens-support-groups-and-the-male-loneliness-epidemic,Relationships & Social Health,"How men's support groups address the growing male loneliness crisis and why authentic peer connection improves mood, health, and purpose.",
0f20cded-ba31-400d-aa5d-f3aa31ab423d,Creating vs Consuming Online,online-reviews-ratings-social-anxiety,"Digital Life, Social Media & Modern Stressors",RETITLE,The Anxiety of Being Constantly Rated and Reviewed Online,the-anxiety-of-being-constantly-rated-and-reviewed-online,Anxiety & Stress,"How online rating systems create psychological burden and evaluation anxiety for gig workers, business owners, and everyday users.",
0f28cdda-673c-4122-9837-fde471a00449,Reminiscence Therapy,building-social-support-network-late-life,"Aging, Dementia & Late-Life Mental Health",RETITLE,Rebuilding a Social Support Network in Later Life,rebuilding-a-social-support-network-in-later-life,Life Transitions & Crises,"A practical guide for older adults on intentionally rebuilding social networks through consistency, initiative, and vulnerability after loss.",
0f448e38-35f2-4d64-be10-4a995c74b037,How to Stop Abandoning Yourself,self-efficacy-believing-makes-possible,"Self-Worth, Confidence & Identity",RETITLE,Self-Efficacy: How Believing in Yourself Shapes Achievement,self-efficacy-how-believing-in-yourself-shapes-achievement,Self-Esteem & Identity,"Explains Bandura's self-efficacy theory, the four sources of confidence, and why belief in your abilities predicts success more than skill alone.",
0f6c4a96-7074-4e58-9222-dd0673853c23,The Freeze Response,trauma-prevalence-how-common-traumatic-experiences,Trauma-Informed Education & Healing,RETITLE,How Common Is Trauma? The Global Prevalence of Traumatic Experiences,how-common-is-trauma-global-prevalence-of-traumatic-experiences,Trauma & PTSD,"Research-backed data on how widespread trauma is globally, showing that 70% of adults experience at least one traumatic event in their lifetime.",
0fc1b7ab-7cba-4a0a-9e72-bdf4c4245550,The Gift of Solitude,from-acquaintance-to-close-friend-deepen-connections,"Loneliness, Social Connection & Belonging",RETITLE,How to Deepen Friendships from Acquaintance to Close Friend,how-to-deepen-friendships-from-acquaintance-to-close-friend,Relationships & Social Health,Research-backed strategies for moving past surface-level friendships using progressive self-disclosure and intentional vulnerability.,
0fe3f6bb-a697-4b10-bc58-7b86e385f25c,How Your Childhood Attachment Shapes Adult Relationships,how-to-give-feedback-without-triggering-defensiveness,Relationships & Communication,RETITLE,How to Give Feedback Without Triggering Defensiveness,how-to-give-feedback-without-triggering-defensiveness,Relationships & Social Health,"Evidence-based techniques for delivering effective feedback, including the SBI framework and principles for timing, specificity, and impact.",
0feb7c3b-c7b0-4558-a8ac-c52505272217,Phone and Communication Anxiety,selective-mutism-in-adults-when-anxiety-steals-your-voice,"Anxiety, Stress & Overwhelm",RETITLE,Selective Mutism in Adults: When Anxiety Silences Speech,selective-mutism-in-adults-when-anxiety-silences-speech,Anxiety & Stress,"An overview of selective mutism in adults, a severe anxiety-driven inability to speak in specific social situations, its diagnosis, and prevalence.",
1036c6ca-1bd4-4160-b906-69615b358408,Suicide Across Cultures,children-of-immigrants-growing-up-between-two-worlds,"Cultural Perspectives, Inclusion & Global Wellness",RETITLE,Growing Up Between Two Worlds: Children of Immigrants and Mental Health,growing-up-between-two-worlds-children-of-immigrants-and-mental-health,Global & Cultural Mental Health,"The unique mental health challenges facing children of immigrants, including cultural conflict, parentification, and navigating dual identities.",
108fce40-1f0f-4f33-8a2f-2aa432793600,Temptation Bundling,evening-wind-down-routines-sleep-anxiety,"Habits, Motivation & Behavior Change",RETITLE,Evening Wind-Down Routines That Prepare the Brain for Sleep,evening-wind-down-routines-that-prepare-the-brain-for-sleep,Sleep & Circadian Health,How to build an effective 60-90 minute evening wind-down routine using light management and nervous system downregulation for better sleep.,
