slug,title,category,verdict,body_topic,confidence
losing-a-spouse-in-later-life-widowhood-and-rebuilding-identity,Animal-Assisted Therapy and Dementia,"Aging, Dementia & Late-Life Mental Health",MISMATCH,widowhood grief and identity rebuilding,0.99
how-long-to-build-a-habit,Why Bad Habits Are So Hard to Break,"Habits, Motivation & Behavior Change",MISMATCH,how long habit formation actually takes,0.95
prostate-cancer-and-mental-health-the-psychological-impact-of-diagnosis,Non-Binary and Gender Non-Conforming Mental Health,Men's Mental Health,MISMATCH,prostate cancer psychological impact,0.99
sliding-scale-therapy-how-to-find-affordable-mental-health-care,Psychiatric Hospitals,"Therapy, Treatment & Mental Health Navigation",MISMATCH,sliding scale affordable therapy options,0.99
treatment-resistant-depression,Therapy for Depression,"Depression, Grief & Loss",MISMATCH,treatment-resistant depression interventions,0.97
enmeshment-closeness-crosses-line-control,Interdependence vs Independence,Relationships & Communication,MISMATCH,enmeshment and boundary dissolution,0.97
the-pressure-of-intensive-parenting-why-modern-parenting-is-exhausting,Parentification,Relationships & Communication,MISMATCH,intensive parenting exhaustion and pressure,0.99
returning-to-work-after-burnout,Career Change,"Work, Productivity & Burnout",MISMATCH,returning to work after burnout,0.99
the-boom-and-bust-cycle-why-people-with-chronic-illness-overdo-it,Prayer and Mental Health,"Chronic Illness, Pain & Medical Psychology",MISMATCH,boom-and-bust cycle in chronic illness,0.99
adult-sibling-relationships,When Adult Children Struggle,Relationships & Communication,MISMATCH,adult sibling relationship patterns,0.97
cultural-expectations-around-eldercare,The Psychology of Forgiveness in Families,Relationships & Communication,MISMATCH,cultural eldercare expectations and guilt,0.99
multiple-sclerosis-and-mental-health-neurological-and-emotional-challenges,Sacred Space,"Chronic Illness, Pain & Medical Psychology",MISMATCH,multiple sclerosis mental health challenges,0.99
behavioral-activation-why-doing-something-anything-helps-when-anxiety-paralyzes,Midlife Anxiety,"Anxiety, Stress & Overwhelm",MISMATCH,behavioral activation for anxious paralysis,0.97
humanistic-person-centered-therapy-unconditional-positive-regard,EMDR,"Therapy, Treatment & Mental Health Navigation",MISMATCH,person-centered humanistic therapy,0.99
burnout-and-cynicism-when-exhaustion-changes-how-you-see-the-world,Headaches and Anxiety,"Anxiety, Stress & Overwhelm",MISMATCH,burnout cynicism and worldview shift,0.99
child-wont-go-school-understanding-school-avoidance,Chosen Family,Relationships & Communication,MISMATCH,school refusal and avoidance in children,0.99
stonewalling-shutdown-during-conflict,The Role of Anger in Relationships,Relationships & Communication,MISMATCH,stonewalling emotional withdrawal in conflict,0.97
worry-time-the-counterintuitive-strategy-that-reduces-anxious-thinking,Anxiety in Your 30s,"Anxiety, Stress & Overwhelm",MISMATCH,worry time CBT technique,0.97
how-economic-uncertainty-affects-mental-health,How Managers Affect Mental Health,"Work, Productivity & Burnout",MISMATCH,economic uncertainty and mental health,0.99
imposter-syndrome-explained-why-successful-people-feel-like-frauds,Social Confidence,"Self-Worth, Confidence & Identity",MISMATCH,imposter syndrome in successful people,0.99
how-seasons-affect-everyones-mood-without-sad,Exercise and Grief,"Depression, Grief & Loss",MISMATCH,seasonal mood changes in general population,0.99
the-landscape-of-mental-health-in-later-life-what-changes-and-what-does-not,Normal Cognitive Aging,"Aging, Dementia & Late-Life Mental Health",MISMATCH,broad mental health landscape in later life,0.85
recovery-is-not-linear-what-to-expect-on-the-path-from-anxiety,Building Your Anxiety Management Toolkit,"Anxiety, Stress & Overwhelm",MISMATCH,non-linear recovery from anxiety,0.95
medical-trauma-when-healthcare-experiences-leave-psychological-scars,Altruism and Wellbeing,"Chronic Illness, Pain & Medical Psychology",MISMATCH,medical trauma from healthcare experiences,0.99
how-stress-accumulates-understanding-allostatic-load,The Art of Doing Less,"Anxiety, Stress & Overwhelm",MISMATCH,allostatic load cumulative stress wear,0.97
why-i-statements-work-taking-ownership-of-your-experience,Disorganized Attachment,Relationships & Communication,MISMATCH,I-statements in conflict communication,0.99
who-am-i-guide-identity-formation-development,Self-Respect,"Self-Worth, Confidence & Identity",MISMATCH,identity formation and development,0.97
psychiatrist-psychologist-counselor-social-worker-differences,Self-Help for Mental Health,"Therapy, Treatment & Mental Health Navigation",MISMATCH,differences between mental health professionals,0.97
loneliness-after-having-baby-isolation-new-parents-dont-talk-about,Building a Social Life From Scratch,"Loneliness, Social Connection & Belonging",MISMATCH,loneliness and isolation in new parents,0.97
disorganized-attachment-push-pull-pattern-confuses-everyone,Nonviolent Communication,Relationships & Communication,MISMATCH,disorganized fearful-avoidant attachment style,0.99
emotional-intelligence-at-work-managing-feelings-in-professional-settings,Developing Emotional Intelligence as an Adult,Emotional Regulation & Self-Awareness,MISMATCH,emotional intelligence in workplace settings,0.85
depression-women-hormonal-social-psychological-factors,Hope and Depression,"Depression, Grief & Loss",MISMATCH,depression in women and hormonal factors,0.99
surgery-and-mental-health-preparing-for-and-recovering-from-operations,Self-Compassion,"Chronic Illness, Pain & Medical Psychology",MISMATCH,psychological effects of surgery and recovery,0.99
seasonal-routines-adapting-to-change-throughout-year,The Psychology of Procrastination at Its Root,"Habits, Motivation & Behavior Change",MISMATCH,seasonal routine adaptation and circadian changes,0.99
asian-american-mental-health-model-minority-myth-consequences,Seasonal and Climate Mental Health,"Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,Asian American mental health model minority myth,0.99
self-care-for-caregivers,How Childhood Shapes Your Relationship With Food,Relationships & Communication,MISMATCH,caregiver self-care and burnout prevention,0.99
medication-vs-therapy-debate-combined-treatment-research,Antidepressants,"Therapy, Treatment & Mental Health Navigation",MISMATCH,medication vs therapy combined treatment research,0.95
reparenting-yourself-how-to-give-yourself-what-you-didnt-receive,The Teenage Brain,Relationships & Communication,MISMATCH,self-reparenting unmet childhood needs,0.99
big-t-little-t-spectrum-traumatic-experiences,How Trauma Affects the Brain,Trauma-Informed Education & Healing,MISMATCH,big T and little t trauma spectrum,0.92
how-to-make-difficult-tasks-easier-psychology-pre-commitment,Habit and Mental Health,"Habits, Motivation & Behavior Change",MISMATCH,pre-commitment devices and Ulysses contracts,0.97
breathwork-trauma-regulate-dysregulated-nervous-system,Military Trauma,Trauma-Informed Education & Healing,MISMATCH,breathwork for trauma nervous system regulation,0.99
making-friends-adult-difficult,Romantic Love and Mental Health,Relationships & Communication,MISMATCH,making friends and adult friendship barriers,0.99
managing-employee-mental-health-guide-for-leaders,Purpose,"Work, Productivity & Burnout",MISMATCH,managers supporting employee mental health,0.99
how-to-support-a-partner-with-anxiety-without-becoming-their-therapist,The Psychology of Worry,"Anxiety, Stress & Overwhelm",MISMATCH,supporting an anxious partner without enabling,0.98
long-covid-and-mental-health-the-psychological-aftermath-of-persistent-symptoms,Psychedelics and Spirituality,"Chronic Illness, Pain & Medical Psychology",MISMATCH,long COVID psychiatric symptoms and neuroinflammation,0.99
social-media-loneliness-connection,Cyberbullying,"Digital Life, Social Media & Modern Stressors",MISMATCH,social media use and loneliness paradox,0.99
acculturation-stress-adapting-new-culture-overwhelms,Storytelling and Mental Health,"Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,acculturation stress and immigration adaptation,0.99
chronic-stress-and-physical-health-the-long-term-consequences,Compassion Fatigue,"Anxiety, Stress & Overwhelm",MISMATCH,chronic stress physical health damage,0.99
adhd-adults,Reactive Attachment Disorder,Understanding Mental Health Conditions,MISMATCH,adult ADHD symptoms and treatment,0.99
