id,new_title,new_slug,new_category,old_hero_image_url
003559fe-f3aa-4c13-9752-e0b214e570b6,Losing a Spouse in Later Life and Rebuilding Identity,losing-a-spouse-in-later-life-and-rebuilding-identity,Life Transitions & Crises,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT17-047.jpeg
005dfc4c-980a-41c0-bae5-9b32530ebbe4,How Long It Actually Takes to Build a Habit,how-long-it-actually-takes-to-build-a-habit,Therapy & Treatment,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT08-003.jpeg
0062310a-25f3-45bc-9c53-58347ec413a2,Prostate Cancer and the Psychological Impact of Diagnosis,prostate-cancer-and-the-psychological-impact-of-diagnosis,Depression & Mood,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT19-022.jpeg
00933f94-fb77-4104-91a3-d737bfd98109,Sliding Scale Therapy and Finding Affordable Mental Health Care,sliding-scale-therapy-and-finding-affordable-mental-health-care,Therapy & Treatment,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT14-032.jpeg
00dfa0a0-2991-49e5-bde3-1eec69d12d09,Understanding Treatment-Resistant Depression and Advanced Options,understanding-treatment-resistant-depression-and-advanced-options,Depression & Mood,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT07-017.jpeg
0104c611-28e9-4b08-ab8e-6f05715d8374,Enmeshment When Closeness Crosses the Line into Control,enmeshment-when-closeness-crosses-the-line-into-control,Relationships & Social Health,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT03-067.jpeg
01247e56-d794-43ea-ba3b-87367e8a90c2,Intensive Parenting Pressure and Why Modern Parenting Is Exhausting,intensive-parenting-pressure-and-why-modern-parenting-is-exhausting,Life Transitions & Crises,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT06-027.jpeg
013479ad-bd6a-4a4a-9731-d6c8cee485dc,Returning to Work After Burnout Without Relapsing,returning-to-work-after-burnout-without-relapsing,Workplace & Academic,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT05-020.jpeg
016199f9-36a2-4a82-b2d7-05a88ecbd062,The Boom-and-Bust Cycle in Chronic Illness and Fatigue,the-boom-and-bust-cycle-in-chronic-illness-and-fatigue,Life Transitions & Crises,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT20-007.jpeg
01abb44b-ed4c-4ced-9676-1ac09a449a75,Navigating Adult Sibling Relationships and Old Patterns,navigating-adult-sibling-relationships-and-old-patterns,Relationships & Social Health,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT06-074.jpeg
01aecd64-0f1a-468e-8aef-c2dde1c438cb,Cultural Expectations Around Eldercare and Caregiver Guilt,cultural-expectations-around-eldercare-and-caregiver-guilt,Global & Cultural Mental Health,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT06-069.jpeg
0223e41e-0a4f-4b49-b64d-f87e4d74d881,Multiple Sclerosis and Its Neurological and Emotional Challenges,multiple-sclerosis-and-its-neurological-and-emotional-challenges,Depression & Mood,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT20-026.jpeg
023e123c-76a5-4d3e-b644-fe5fce14cf28,Behavioral Activation as a Tool for Breaking Anxious Paralysis,behavioral-activation-as-a-tool-for-breaking-anxious-paralysis,"Anxiety, Stress & Overwhelm",https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT02-067.jpeg
02968485-642a-4fc8-af29-8ccc80bb22a0,Person-Centered Therapy and Unconditional Positive Regard,person-centered-therapy-and-unconditional-positive-regard,Therapy & Treatment,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT14-007.jpeg
02ab2dbc-cf1c-4aaa-9b33-69cb5e82b84f,Burnout and Cynicism When Exhaustion Changes How the World Looks,burnout-and-cynicism-when-exhaustion-changes-how-the-world-looks,Workplace & Academic,https://ozourhqyqtpppvpbhphw.supabase.co/storage/v1/object/public/article-images/covers/CAT02-048.jpeg
